@relation preprocessamentoCK

@attribute CLASSE REAL 
@attribute CBO REAL 
@attribute DIT REAL 
@attribute LCOM REAL 
@attribute NOC REAL 
@attribute RFC REAL 
@attribute WMC REAL 
@attribute UOTESTED {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@data
1,0,0,0,0,0,0,2
1,0,0,0,0,2,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,5,0,2
1,0,0,0,0,4,0,2
1,0,0,0,0,3,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,15,0,2,0,2,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,3,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,3,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,2,0,2
1,0,0,0,0,9,0,2
1,11,0,3,0,4,2,2
1,11,0,2,0,2,0,2
1,10,0,4,0,4,6,2
1,0,0,0,0,0,0,2
1,0,0,0,0,2,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,2,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,2,0,2
1,1,1,1,0,10,1,2
1,14,1,3,0,46,38,2
1,18,1,1,0,79,38,2
1,4,0,2,0,5,4,2
1,1,1,1,0,8,3,2
1,0,1,1,0,24,30,2
1,4,1,1,0,42,17,2
1,50,1,1,0,3,1,2
1,3,1,2,0,11,6,2
1,9,1,2,0,52,56,2
1,0,1,1,0,2,1,1
1,0,1,1,0,8,4,2
1,0,1,1,0,11,4,2
1,0,1,2,0,22,10,2
1,2,1,1,0,5,1,1
1,7,0,3,0,72,32,2
1,0,1,1,0,4,1,2
1,5,1,0,0,4,3,2
1,3,1,0,0,5,4,2
1,13,4,0,6,8,4,2
1,2,1,0,0,2,1,2
1,5,1,1,0,8,4,2
1,0,1,0,0,2,1,2
1,19,1,0,0,5,4,2
1,1,1,1,0,8,5,2
1,42,1,16,0,130,72,2
1,0,0,0,0,0,0,2
1,22,2,3,0,75,19,2
1,19,2,7,14,50,17,1
